기간	대분류	분류	주거환경	경제환경	사회환경	교육환경
2011	강북구	강북구	6.08	4.45	5.39	4.52
2011	도봉구	도봉구	5.92	5.11	4.73	5.28
2011	노원구	노원구	6.28	5.04	5.9	5.29
2011	은평구	은평구	6.26	5.39	5.92	5.55
2011	서대문구	서대문구	5.62	5.3	5.53	5.37
2011	마포구	마포구	5.79	4.73	5.26	4.94
2011	양천구	양천구	6.36	5.61	6.01	5.58
2011	강서구	강서구	5.95	4.59	5.09	4.8
2011	구로구	구로구	5.97	5.63	4.91	4.96
2011	금천구	금천구	6.03	4.68	5.28	4.65
2011	영등포구	영등포구	6.06	4.87	6.02	5.15
2011	동작구	동작구	6.42	5.31	5.45	5.31
2011	관악구	관악구	6	5.2	5.81	5.6
2011	서초구	서초구	6.63	5.63	7.05	5.58
2011	강남구	강남구	7.1	5.86	5.62	5.75
2011	송파구	송파구	6.07	5.69	5.02	5.72
2011	강동구	강동구	6.49	5.81	5.89	5.63
2012	서울시	서울시	6.25	5.48	5.78	5.54
2012	성별	남자	6.27	5.54	5.81	5.55
2012	성별	여자	6.19	5.24	5.67	5.48
2012	연령별	20대 이하	5.96	5.45	5.38	5.28
2012	연령별	30대	6.2	5.54	5.86	5.6
2012	연령별	40대	6.33	5.46	5.77	5.43
2012	연령별	50대	6.32	5.55	5.88	5.63
2012	연령별	60대 이상	6.23	5.38	5.75	5.57
2012	학력별	중졸 이하	5.91	5.09	5.41	5.35
2012	학력별	고졸 이하	6.23	5.37	5.8	5.52
2012	학력별	대졸이하	6.32	5.6	5.85	5.59
2012	학력별	대학원 이상	6.75	6.09	5.91	5.43
2012	주택형태	단독주택	6.15	5.35	5.7	5.39
2012	주택형태	아파트	6.38	5.64	5.89	5.68
2012	주택형태	다세대주택	6.19	5.34	5.72	5.51
2012	주택형태	연립/기타	6.19	5.55	5.78	5.55
2012	입주형태	자가	6.39	5.67	5.89	5.61
2012	입주형태	전세	6.22	5.4	5.71	5.48
2012	입주형태	월세/기타	6.07	5.27	5.72	5.47
2012	가구원수	1인	6.05	5.3	5.65	5.5
2012	가구원수	2인	6.24	5.52	5.82	5.59
2012	가구원수	3인	6.33	5.59	5.82	5.59
2012	가구원수	4인	6.33	5.53	5.84	5.5
2012	가구원수	5인 이상	6.45	5.42	5.83	5.44
2012	소득	100 만원 미만	5.87	4.95	5.12	5.35
2012	소득	100-200만 미만	5.87	5.13	5.47	5.38
2012	소득	200-300만 미만	6.09	5.29	5.78	5.5
2012	소득	300-400만 미만	6.24	5.46	5.77	5.48
2012	소득	400-500만 미만	6.37	5.63	5.88	5.61
2012	소득	500만원 이상	6.6	5.84	6.02	5.68
2012	지역대분류	도심권	6.07	5.33	5.54	5.29
2012	지역대분류	동북권	6.09	5.27	5.52	5.33
2012	지역대분류	서북권	6.27	5.52	5.78	5.52
2012	지역대분류	서남권	6.37	5.61	5.93	5.64
2012	지역대분류	동남권	6.37	5.62	6.06	5.78
2012	종로구	종로구	5.74	5.22	5.47	5
2012	중구	중구	6.2	5.89	5.13	5.49
2012	용산구	용산구	6.22	5.1	5.81	5.37
2012	성동구	성동구	5.07	4.44	4.6	4.07
2012	광진구	광진구	6.46	4.92	5.47	5.24
2012	동대문구	동대문구	6.12	5.33	4.99	5.64
2012	중랑구	중랑구	5.91	5.2	5.27	5.03
2012	성북구	성북구	5.88	5.23	5.43	5.21
2012	강북구	강북구	6.36	5.78	6.04	5.89
2012	도봉구	도봉구	6.51	5.79	6.06	5.8
2012	노원구	노원구	6.26	5.37	5.98	5.57
2012	은평구	은평구	6.31	5.49	5.69	5.54
2012	서대문구	서대문구	6.66	5.86	6.22	5.53
2012	마포구	마포구	5.9	5.29	5.55	5.49
2012	양천구	양천구	6.4	5.39	6	6.05
2012	강서구	강서구	6.22	5.54	5.6	5.46
2012	구로구	구로구	6.3	5.65	6.03	5.55
2012	금천구	금천구	6.1	5.74	6.17	5.48
2012	영등포구	영등포구	6.37	5.88	6.37	5.53
2012	동작구	동작구	6.8	5.58	6.01	5.74
2012	관악구	관악구	6.37	5.62	5.65	5.62
2012	서초구	서초구	6.78	5.9	6.4	6.12
2012	강남구	강남구	6.25	6.04	6.24	6.1
2012	송파구	송파구	6.23	5.55	6.18	5.67
2012	강동구	강동구	6.34	4.96	5.37	5.22
2013	서울시	서울시	6.44	5.58	6.13	5.82
2013	성별	남자	6.45	5.61	6.15	5.83
2013	성별	여자	6.4	5.47	6.04	5.8
2013	연령별	20대 이하	6.3	5.47	5.99	5.61
2013	연령별	30대	6.36	5.61	6.09	5.69
2013	연령별	40대	6.48	5.53	6.28	5.9
2013	연령별	50대	6.55	5.71	6.2	5.98
2013	연령별	60대 이상	6.39	5.51	5.97	5.78
2013	학력별	중졸 이하	6.27	5.26	5.75	5.68
2013	학력별	고졸 이하	6.37	5.49	6.01	5.8
2013	학력별	대졸이하	6.52	5.71	6.28	5.87
2013	학력별	대학원 이상	6.29	5.7	6.15	5.62
2013	주택형태	단독주택	6.36	5.55	6	5.74
2013	주택형태	아파트	6.46	5.55	6.22	5.85
2013	주택형태	다세대주택	6.56	5.77	6.23	5.93
2013	주택형태	연립/기타	6.44	5.52	6.06	5.86
2013	입주형태	자가	6.63	5.74	6.33	6.02
2013	입주형태	전세	6.38	5.62	6.06	5.77
2013	입주형태	월세/기타	6.2	5.27	5.88	5.57
2013	가구원수	1인	6.29	5.47	5.99	5.76
2013	가구원수	2인	6.4	5.58	6.07	5.77
2013	가구원수	3인	6.44	5.61	6.09	5.75
2013	가구원수	4인	6.59	5.68	6.34	6.02
2013	가구원수	5인 이상	6.54	5.58	6.2	5.79
2013	소득	100 만원 미만	5.92	4.94	5.29	5.41
2013	소득	100-200만 미만	6.09	5.27	5.52	5.55
2013	소득	200-300만 미만	6.34	5.45	6.01	5.7
2013	소득	300-400만 미만	6.42	5.58	6.14	5.79
2013	소득	400-500만 미만	6.47	5.61	6.35	5.86
2013	소득	500만원 이상	6.89	6.07	6.63	6.24
2013	지역대분류	도심권	6.19	5.46	5.7	5.57
2013	지역대분류	동북권	6.33	5.39	5.94	5.62
2013	지역대분류	서북권	6.31	5.64	6.1	5.72
2013	지역대분류	서남권	6.45	5.66	6.16	5.78
2013	지역대분류	동남권	6.71	5.76	6.51	6.32
2013	종로구	종로구	6.05	5.46	5.42	5.24
2013	중구	중구	6.55	5.78	6.15	6.08
2013	용산구	용산구	6.1	5.28	5.64	5.51
2013	성동구	성동구	6.17	5.32	5.67	5.08
2013	광진구	광진구	6.45	5.68	5.93	5.83
2013	동대문구	동대문구	5.7	5.15	5.21	4.99
2013	중랑구	중랑구	6.25	5.32	5.41	5.37
2013	성북구	성북구	7.08	5.52	6.67	6.26
2013	강북구	강북구	6.73	5.5	5.98	5.8
2013	도봉구	도봉구	6.25	5.25	6.63	6.04
2013	노원구	노원구	5.97	5.34	5.88	5.48
2013	은평구	은평구	6.65	5.84	6.36	6.25
2013	서대문구	서대문구	5.9	5.2	5.81	5.31
2013	마포구	마포구	6.23	5.74	6.01	5.38
2013	양천구	양천구	6.21	5.57	5.91	5.93
2013	강서구	강서구	6.19	5.52	5.63	5.74
2013	구로구	구로구	6.16	5.59	6.17	4.78
2013	금천구	금천구	6.09	5.03	5.59	5.54
2013	영등포구	영등포구	6.68	6.01	6.39	5.77
2013	동작구	동작구	6.92	5.87	6.43	6.15
2013	관악구	관악구	6.77	5.81	6.73	6.22
2013	서초구	서초구	7.01	5.94	7.02	6.8
2013	강남구	강남구	6.74	5.6	6.45	6.17
2013	송파구	송파구	6.65	5.97	6.42	6.31
2013	강동구	강동구	6.49	5.51	6.23	6.11
2014	서울시	서울시	6.13	5.26	5.69	5.41
2014	성별	남자	6.17	5.36	5.72	5.45
2014	성별	여자	6	4.89	5.59	5.29
2014	연령별	20대 이하	5.6	5.02	5.5	5.23
2014	연령별	30대	6.06	5.38	5.62	5.46
2014	연령별	40대	6.2	5.26	5.75	5.37
2014	연령별	50대	6.24	5.4	5.78	5.46
2014	연령별	60대 이상	6.2	5.1	5.69	5.43
2014	학력별	중졸 이하	6.17	4.87	5.67	5.38
2014	학력별	고졸 이하	6.1	5.26	5.59	5.37
2014	학력별	대졸이하	6.13	5.34	5.74	5.44
2014	학력별	대학원 이상	6.52	5.73	6.26	5.75
2014	주택형태	단독주택	6.03	5.19	5.57	5.33
2014	주택형태	아파트	6.26	5.37	5.85	5.52
2014	주택형태	다세대주택	6.06	5.19	5.65	5.33
2014	주택형태	연립/기타	6.13	5.22	5.6	5.45
2014	입주형태	자가	6.32	5.46	5.75	5.46
2014	입주형태	전세	6.1	5.26	5.68	5.41
2014	입주형태	월세/기타	5.88	4.96	5.62	5.35
2014	가구원수	1인	5.93	5.02	5.56	5.3
2014	가구원수	2인	6.16	5.21	5.65	5.43
2014	가구원수	3인	6.11	5.35	5.7	5.39
2014	가구원수	4인	6.27	5.47	5.85	5.55
2014	가구원수	5인 이상	6.36	5.35	5.77	5.46
2014	소득	100 만원 미만	6.08	4.61	5.46	5.23
2014	소득	100-200만 미만	5.89	4.82	5.59	5.3
2014	소득	200-300만 미만	5.89	5.03	5.55	5.2
2014	소득	300-400만 미만	6.07	5.28	5.57	5.44
2014	소득	400-500만 미만	6.27	5.42	5.8	5.52
2014	소득	500만원 이상	6.4	5.68	5.95	5.56
2014	지역대분류	도심권	5.89	5.32	5.63	5.29
2014	지역대분류	동북권	6.05	5.19	5.55	5.23
2014	지역대분류	서북권	6.15	5.26	5.59	5.34
2014	지역대분류	서남권	6.14	5.14	5.56	5.28
2014	지역대분류	동남권	6.31	5.55	6.21	6
2014	종로구	종로구	6.77	5.84	6.35	6.17
2014	중구	중구	5.57	4.89	5.17	4.72
2014	용산구	용산구	5.47	5.21	5.4	4.99
2014	성동구	성동구	6.03	5.09	5.69	5.25
2014	광진구	광진구	6.19	5.44	5.74	5.48
2014	동대문구	동대문구	5.23	4.63	5.3	4.86
2014	중랑구	중랑구	6.08	5.56	5.59	5.43
2014	성북구	성북구	6.43	5.57	5.55	5.63
2014	강북구	강북구	5.78	4.84	5.28	4.75
2014	도봉구	도봉구	6.17	5.13	5.5	4.98
2014	노원구	노원구	6.26	5.1	5.65	5.24
2014	은평구	은평구	6.12	5.24	5.48	5.21
2014	서대문구	서대문구	6.18	5.39	5.48	5.33
2014	마포구	마포구	6.15	5.17	5.8	5.51
2014	양천구	양천구	6.41	5.88	5.94	6.02
2014	강서구	강서구	6.13	5.16	5.42	5.21
2014	구로구	구로구	6.32	4.98	5.79	5.29
2014	금천구	금천구	5.83	4.66	4.67	4.25
2014	영등포구	영등포구	5.7	4.73	5.55	5.01
2014	동작구	동작구	6.37	5.3	5.94	5.65
2014	관악구	관악구	6.08	5.05	5.38	5.15
2014	서초구	서초구	6.85	5.58	6.55	6.47
2014	강남구	강남구	6.35	5.76	6.39	6.52
2014	송파구	송파구	5.96	5.28	5.98	5.48
2014	강동구	강동구	6.25	5.66	5.99	5.64
2015	서울시	서울시	6.16	5.3	5.71	5.43
2015	성별	남자	6.17	5.36	5.73	5.46
2015	성별	여자	6.1	5.03	5.6	5.3
2015	연령별	20대 이하	5.98	5.19	5.43	5.17
2015	연령별	30대	6.08	5.28	5.64	5.47
2015	연령별	40대	6.22	5.29	5.82	5.45
2015	연령별	50대	6.27	5.46	5.82	5.48
2015	연령별	60대 이상	6.12	5.21	5.66	5.41
2015	학력별	중졸 이하	6.13	5.05	5.61	5.34
2015	학력별	고졸 이하	6.16	5.27	5.71	5.39
2015	학력별	대졸이하	6.16	5.35	5.73	5.47
2015	학력별	대학원 이상	6.05	5.29	5.54	5.38
2015	주택형태	단독주택	6.17	5.32	5.76	5.43
2015	주택형태	아파트	6.14	5.26	5.68	5.4
2015	주택형태	다세대주택	6.19	5.37	5.71	5.58
2015	주택형태	연립/기타	6.13	5.24	5.65	5.39
2015	입주형태	자가	6.17	5.31	5.72	5.42
2015	입주형태	전세	6.14	5.35	5.7	5.4
2015	입주형태	월세/기타	6.15	5.22	5.7	5.49
2015	가구원수	1인	6.12	5.18	5.69	5.44
2015	가구원수	2인	6.14	5.28	5.67	5.39
2015	가구원수	3인	6.15	5.35	5.72	5.45
2015	가구원수	4인	6.23	5.4	5.75	5.44
2015	가구원수	5인 이상	6.1	5.28	5.74	5.43
2015	소득	100 만원 미만	5.96	5.01	5.31	5.38
2015	소득	100-200만 미만	6.24	5.2	5.81	5.36
2015	소득	200-300만 미만	6.16	5.26	5.64	5.43
2015	소득	300-400만 미만	6.14	5.44	5.76	5.45
2015	소득	400-500만 미만	6.11	5.27	5.63	5.39
2015	소득	500만원 이상	6.18	5.3	5.75	5.46
2015	지역대분류	도심권	5.91	5.14	5.71	5.22
2015	지역대분류	동북권	6.11	5.26	5.57	5.27
2015	지역대분류	서북권	6.2	5.36	5.6	5.41
2015	지역대분류	서남권	6.23	5.22	5.68	5.45
2015	지역대분류	동남권	6.15	5.47	6.03	5.73
2015	종로구	종로구	6.48	5.1	6.02	5.55
2015	중구	중구	5.96	5.44	5.66	5.33
2015	용산구	용산구	5.5	4.99	5.53	4.93
2015	성동구	성동구	6	5.09	5.46	5.23
2015	광진구	광진구	6.28	5.48	5.78	5.56
2015	동대문구	동대문구	5.54	4.91	5.42	4.91
2015	중랑구	중랑구	6.24	5.42	5.62	5.3
2015	성북구	성북구	6.29	5.37	5.54	5.38
2015	강북구	강북구	6.16	5.31	5.38	5.35
2015	도봉구	도봉구	6.41	5.44	5.84	5.52
2015	노원구	노원구	5.99	5.09	5.55	4.99
2015	은평구	은평구	6.32	5.46	5.71	5.51
2015	서대문구	서대문구	5.93	5.27	5.54	5.31
2015	마포구	마포구	6.26	5.32	5.53	5.39
2015	양천구	양천구	6.27	5.38	5.82	5.64
2015	강서구	강서구	6.31	5.2	5.62	5.45
2015	구로구	구로구	6.19	5.22	5.59	5.26
2015	금천구	금천구	6.33	5.12	5.44	5.13
2015	영등포구	영등포구	6.26	5.13	5.64	5.25
2015	동작구	동작구	6.1	5.14	5.67	5.31
2015	관악구	관악구	6.19	5.26	5.83	5.78
2015	서초구	서초구	6.32	5.43	5.95	5.69
2015	강남구	강남구	6.23	5.51	6.11	6.13
2015	송파구	송파구	6.03	5.48	6.09	5.56
2015	강동구	강동구	6.06	5.46	5.89	5.51
2016	서울시	서울시	6.17	5.31	5.71	5.44
2016	성별	남자	6.21	5.37	5.75	5.47
2016	성별	여자	6.03	5.1	5.58	5.33
2016	연령별	20대 이하	5.97	5.33	5.61	5.31
2016	연령별	30대	6.02	5.25	5.55	5.34
2016	연령별	40대	6.23	5.31	5.76	5.41
2016	연령별	50대	6.24	5.45	5.85	5.56
2016	연령별	60대 이상	6.24	5.21	5.71	5.47
2016	학력별	중졸 이하	6.24	5.19	5.71	5.5
2016	학력별	고졸 이하	6.22	5.36	5.74	5.49
2016	학력별	대졸이하	6.13	5.3	5.69	5.4
2016	학력별	대학원 이상	6.16	5.42	5.72	5.41
2016	주택형태	단독주택	6.12	5.32	5.7	5.42
2016	주택형태	아파트	6.22	5.3	5.72	5.44
2016	주택형태	다세대주택	6.09	5.29	5.65	5.44
2016	주택형태	연립/기타	6.18	5.33	5.76	5.47
2016	입주형태	자가	6.2	5.32	5.75	5.47
2016	입주형태	전세	6.16	5.28	5.71	5.44
2016	입주형태	월세/기타	6.12	5.31	5.66	5.4
2016	가구원수	1인	6.07	5.18	5.61	5.41
2016	가구원수	2인	6.23	5.3	5.71	5.45
2016	가구원수	3인	6.24	5.41	5.77	5.49
2016	가구원수	4인	6.17	5.4	5.83	5.45
2016	가구원수	5인 이상	6.07	5.28	5.65	5.27
2016	소득	100 만원 미만	6.3	5.49	5.76	5.64
2016	소득	100-200만 미만	6.07	5.2	5.62	5.38
2016	소득	200-300만 미만	6.11	5.28	5.61	5.4
2016	소득	300-400만 미만	6.19	5.33	5.72	5.46
2016	소득	400-500만 미만	6.16	5.29	5.74	5.41
2016	소득	500만원 이상	6.2	5.34	5.76	5.46
2016	지역대분류	도심권	6.13	5.52	6.02	5.64
2016	지역대분류	동북권	6.05	5.31	5.66	5.34
2016	지역대분류	서북권	6.15	5.36	5.58	5.42
2016	지역대분류	서남권	6.18	5.21	5.62	5.39
2016	지역대분류	동남권	6.35	5.35	5.93	5.61
2016	종로구	종로구	6.11	5.55	5.96	5.38
2016	중구	중구	6.43	5.52	6.23	5.78
2016	용산구	용산구	5.98	5.49	5.95	5.75
2016	성동구	성동구	6.09	5.47	5.78	5.65
2016	광진구	광진구	6.01	5.42	5.8	5.57
2016	동대문구	동대문구	6.13	5.29	5.94	5.51
2016	중랑구	중랑구	5.77	5.17	5.47	4.94
2016	성북구	성북구	6.05	5.46	5.6	5.4
2016	강북구	강북구	5.94	5.03	5.39	5.17
2016	도봉구	도봉구	6.25	5.46	5.72	5.36
2016	노원구	노원구	6.14	5.24	5.63	5.28
2016	은평구	은평구	6.41	5.42	5.8	5.55
2016	서대문구	서대문구	6.06	5.3	5.57	5.29
2016	마포구	마포구	5.93	5.34	5.32	5.37
2016	양천구	양천구	6.02	5.23	5.49	5.23
2016	강서구	강서구	6.13	5.08	5.61	5.48
2016	구로구	구로구	6.36	5.2	5.69	5.52
2016	금천구	금천구	6.24	5.34	5.67	5.37
2016	영등포구	영등포구	6.11	5.15	5.34	5.27
2016	동작구	동작구	6.25	5.3	5.75	5.41
2016	관악구	관악구	6.2	5.27	5.74	5.38
2016	서초구	서초구	6.5	5.3	5.66	5.44
2016	강남구	강남구	6.33	5.3	5.91	5.51
2016	송파구	송파구	6.26	5.39	6.1	5.78
2016	강동구	강동구	6.33	5.41	5.95	5.67
2017	서울시	서울시	6.19	5.35	5.75	5.45
2017	성별	남자	6.23	5.44	5.79	5.48
2017	성별	여자	6.06	5.1	5.65	5.36
2017	연령별	20대 이하	6.08	5.37	5.84	5.56
2017	연령별	30대	6.17	5.51	5.74	5.46
2017	연령별	40대	6.25	5.41	5.74	5.4
2017	연령별	50대	6.24	5.45	5.75	5.48
2017	연령별	60대 이상	6.16	5.14	5.75	5.43
2017	학력별	중졸 이하	6.09	4.8	5.64	5.36
2017	학력별	고졸 이하	6.14	5.29	5.68	5.38
2017	학력별	대졸이하	6.24	5.55	5.82	5.53
2017	학력별	대학원 이상	6.28	5.39	5.83	5.22
2017	주택형태	단독주택	6.07	5.24	5.67	5.34
2017	주택형태	아파트	6.36	5.48	5.86	5.55
2017	주택형태	다세대주택	5.99	5.27	5.66	5.37
2017	주택형태	연립/기타	6.08	5.26	5.68	5.45
2017	입주형태	자가	6.31	5.53	5.83	5.51
2017	입주형태	전세	6.17	5.42	5.78	5.49
2017	입주형태	월세/기타	6.04	5.05	5.62	5.34
2017	가구원수	1인	6.06	5.16	5.61	5.38
2017	가구원수	2인	6.14	5.25	5.79	5.41
2017	가구원수	3인	6.25	5.51	5.78	5.49
2017	가구원수	4인	6.36	5.57	5.88	5.59
2017	가구원수	5인 이상	6.29	5.52	5.8	5.45
2017	소득	100 만원 미만	6	4.38	5.6	5.3
2017	소득	100-200만 미만	5.96	4.92	5.56	5.28
2017	소득	200-300만 미만	6.04	5.25	5.6	5.34
2017	소득	300-400만 미만	6.22	5.49	5.75	5.43
2017	소득	400-500만 미만	6.33	5.62	5.87	5.61
2017	소득	500만원 이상	6.35	5.64	5.92	5.57
2017	지역대분류	도심권	5.95	5.3	5.66	5.19
2017	지역대분류	동북권	6.1	5.17	5.66	5.34
2017	지역대분류	서북권	6.11	5.4	5.76	5.41
2017	지역대분류	서남권	6.23	5.36	5.67	5.37
2017	지역대분류	동남권	6.36	5.6	6.03	5.84
2017	종로구	종로구	5.97	5.47	5.79	5.35
2017	중구	중구	6.07	4.92	5.66	5.24
2017	용산구	용산구	5.86	5.39	5.57	5.06
2017	성동구	성동구	6.02	5.18	5.74	5.3
2017	광진구	광진구	6.11	5.08	5.66	5.54
2017	동대문구	동대문구	5.97	4.96	5.4	5
2017	중랑구	중랑구	6.04	5.36	5.66	5.21
2017	성북구	성북구	5.9	5.02	5.51	5.1
2017	강북구	강북구	6.18	5.37	5.78	5.37
2017	도봉구	도봉구	6.34	5.31	5.72	5.35
2017	노원구	노원구	6.27	5.16	5.84	5.72
2017	은평구	은평구	6.25	5.16	5.66	5.19
2017	서대문구	서대문구	6.09	5.46	5.9	5.55
2017	마포구	마포구	5.96	5.63	5.76	5.57
2017	양천구	양천구	5.94	5	5.27	4.95
2017	강서구	강서구	6.2	5.25	5.41	5.42
2017	구로구	구로구	6.19	5.41	5.77	5.11
2017	금천구	금천구	5.97	5.22	5.28	4.98
2017	영등포구	영등포구	6.4	5.47	5.88	5.36
2017	동작구	동작구	6.3	5.46	5.88	5.82
2017	관악구	관악구	6.45	5.6	6.03	5.66
2017	서초구	서초구	6.38	5.7	6.05	5.92
2017	강남구	강남구	6.57	5.56	6.22	6.1
2017	송파구	송파구	6.23	5.68	5.95	5.87
2017	강동구	강동구	6.25	5.42	5.88	5.37
2018	서울시	서울시	6.24	5.43	5.81	5.57
2018	성별	남자	6.27	5.49	5.81	5.59
2018	성별	여자	6.16	5.28	5.79	5.52
2018	연령별	20대 이하	6.15	5.02	5.95	5.57
2018	연령별	30대	6.22	5.51	5.95	5.6
2018	연령별	40대	6.3	5.49	5.88	5.58
2018	연령별	50대	6.33	5.5	5.84	5.6
2018	연령별	60대 이상	6.2	5.41	5.64	5.53
2018	학력별	중졸 이하	6.06	5.26	5.54	5.33
2018	학력별	고졸 이하	6.22	5.39	5.67	5.54
2018	학력별	대졸이하	6.31	5.5	5.96	5.67
2018	학력별	대학원 이상	6.39	5.6	6.12	5.52
2018	주택형태	단독주택	6.07	5.34	5.72	5.49
2018	주택형태	아파트	6.47	5.56	5.94	5.74
2018	주택형태	다세대주택	6.08	5.33	5.65	5.42
2018	주택형태	연립/기타	6.11	5.36	5.77	5.35
2018	입주형태	자가	6.31	5.59	5.84	5.69
2018	입주형태	전세	6.24	5.4	5.8	5.55
2018	입주형태	월세/기타	6.15	5.25	5.77	5.42
2018	가구원수	1인	6.16	5.33	5.76	5.52
2018	가구원수	2인	6.27	5.42	5.81	5.59
2018	가구원수	3인	6.26	5.48	5.83	5.58
2018	가구원수	4인	6.35	5.54	5.89	5.55
2018	가구원수	5인 이상	6.21	5.57	5.72	5.76
2018	소득	100 만원 미만	5.95	4.64	5.48	5.1
2018	소득	100-200만 미만	6.12	5.33	5.62	5.35
2018	소득	200-300만 미만	6.12	5.19	5.59	5.5
2018	소득	300-400만 미만	6.26	5.57	5.85	5.63
2018	소득	400-500만 미만	6.26	5.61	5.86	5.58
2018	소득	500만원 이상	6.41	5.63	6.03	5.77
2018	지역대분류	도심권	6.17	5.33	5.62	5.45
2018	지역대분류	동북권	6.08	5.3	5.61	5.43
2018	지역대분류	서북권	6.26	5.44	5.86	5.52
2018	지역대분류	서남권	6.23	5.6	5.75	5.63
2018	지역대분류	동남권	6.53	5.41	6.23	5.76
2018	종로구	종로구	5.83	5.15	5.21	5.21
2018	중구	중구	5.94	5.42	5.4	5.37
2018	용산구	용산구	6.53	5.41	6.02	5.65
2018	성동구	성동구	6.02	5.18	5.65	5.49
2018	광진구	광진구	6.13	5.64	5.68	5.73
2018	동대문구	동대문구	6	5.13	5.53	5.23
2018	중랑구	중랑구	5.98	5.29	5.52	5.3
2018	성북구	성북구	6.04	5.15	5.48	5.32
2018	강북구	강북구	6.19	5.33	5.54	5.43
2018	도봉구	도봉구	6.32	5.6	5.56	5.39
2018	노원구	노원구	6.05	5.14	5.87	5.51
2018	은평구	은평구	6.28	5.63	5.97	5.55
2018	서대문구	서대문구	6.02	5.27	5.46	5.33
2018	마포구	마포구	6.43	5.37	6.05	5.64
2018	양천구	양천구	6.03	5.67	5.57	5.61
2018	강서구	강서구	6.34	5.65	5.96	5.86
2018	구로구	구로구	6.39	5.39	5.7	5.43
2018	금천구	금천구	6.14	5.44	5.41	5.24
2018	영등포구	영등포구	6.15	5.84	5.98	5.89
2018	동작구	동작구	6.34	5.68	5.72	5.69
2018	관악구	관악구	6.18	5.48	5.7	5.51
2018	서초구	서초구	6.52	5.42	6.44	6.02
2018	강남구	강남구	6.53	5.54	6.35	5.85
2018	송파구	송파구	6.63	5.5	6.31	5.68
2018	강동구	강동구	6.37	5.13	5.76	5.51
2019	서울시	서울시	6.39	5.5	6	5.71
2019	성별	남자	6.39	5.57	6	5.73
2019	성별	여자	6.39	5.34	6.02	5.67
2019	연령별	20대 이하	6.48	5.13	6	5.73
2019	연령별	30대	6.33	5.62	5.99	5.73
2019	연령별	40대	6.33	5.56	5.95	5.72
2019	연령별	50대	6.35	5.6	5.97	5.65
2019	연령별	60대 이상	6.45	5.45	6.05	5.73
2019	학력별	중졸 이하	6.42	5.16	6.04	5.62
2019	학력별	고졸 이하	6.38	5.53	6	5.72
2019	학력별	대졸이하	6.39	5.6	6	5.75
2019	학력별	대학원 이상	6.42	5.62	5.72	5.54
2019	주택형태	단독주택	6.3	5.38	5.9	5.74
2019	주택형태	아파트	6.52	5.67	6.1	5.75
2019	주택형태	다세대주택	6.26	5.35	5.94	5.55
2019	주택형태	연립/기타	6.34	5.46	6	5.78
2019	입주형태	자가	6.46	5.66	5.99	5.68
2019	입주형태	전세	6.36	5.51	5.97	5.75
2019	입주형태	월세/기타	6.33	5.3	6.05	5.74
